gamma,fqi_iteration,avg_reward,max_reward
0.95,1,64.281,221.0
0.95,2,16.247,36.0
0.95,3,23.807,46.0
0.95,4,155.079,559.0
0.95,5,216.226,455.0
0.95,6,205.479,1168.0
0.95,7,263.341,438.0
0.95,8,254.676,2616.0
0.95,9,277.889,823.0
0.95,10,292.732,1945.0
0.95,11,331.852,983.0
0.95,12,219.379,536.0
0.95,13,171.073,260.0
0.95,14,300.606,560.0
0.95,15,5000.0,5000.0
0.95,16,279.17,3232.0
0.95,17,173.921,516.0
0.95,18,127.184,142.0
0.95,19,221.874,306.0
0.95,20,137.698,173.0
0.99,1,90.378,350.0
0.99,2,48.052,130.0
0.99,3,28.815,64.0
0.99,4,151.205,477.0
0.99,5,252.225,671.0
0.99,6,194.19,1460.0
0.99,7,213.968,689.0
0.99,8,445.75,5000.0
0.99,9,215.731,584.0
0.99,10,258.465,755.0
0.99,11,362.21,922.0
0.99,12,215.455,474.0
0.99,13,258.558,5000.0
0.99,14,228.489,856.0
0.99,15,363.062,990.0
0.99,16,293.894,681.0
0.99,17,241.2,714.0
0.99,18,290.511,1022.0
0.99,19,226.973,694.0
0.99,20,219.356,728.0
1.0,1,114.054,397.0
1.0,2,13.997,24.0
1.0,3,47.078,202.0
1.0,4,121.192,435.0
1.0,5,200.224,790.0
1.0,6,238.006,740.0
1.0,7,189.373,388.0
1.0,8,253.277,1677.0
1.0,9,469.896,5000.0
1.0,10,742.332,5000.0
1.0,11,322.656,1078.0
1.0,12,272.807,622.0
1.0,13,293.033,763.0
1.0,14,207.482,439.0
1.0,15,163.018,198.0
1.0,16,332.781,1164.0
1.0,17,162.077,414.0
1.0,18,284.391,813.0
1.0,19,238.243,634.0
1.0,20,216.171,590.0
